name,address,city,state,zip_code,program_code,lat,lng,fips_county,GoogleLat,GoogleLon,GoogleCounty,GoogleZip,GoogleZip+4,zipmatch,CountyMatch,fips_county_name
Pinebluff United Methodist,275 E Philadelphia Ave,Pinebluff,NC,28373,FOODPANTRY,35.108444,-79.472802,37125,35.107201,-79.469532,Moore,28373,8305,TRUE,TRUE,
Gethsemane 7th Day,2525 Sanderford Road,Raleigh,NC,27610,FOODPANTRY,35.744892,-78.613885,37183,35.74512,-78.613103,Wake,27610,5829,TRUE,TRUE,
Coastal Women's Shelter,Confidential,New Bern,NC,NA,SHELTER,NA,NA,NA,,,,,,FALSE,,
Orange Congregations Mission,300 Millstone Drive,Hillsborough,NC,27278,FOODPANTRY,36.050792,-79.098814,37135,36.0508081,-79.0975226,Orange,27278,8777,TRUE,TRUE,
Salvation Army/Wilson,316 S. Tarboro Street,Wilson,NC,27893,FOODPANTRY,35.727598,-77.908344,37195,35.7238053,-77.9165371,Wilson,27893,3916,TRUE,TRUE,
Dorcas Ministries,187 High House Rd,Cary,NC,27511,FOODPANTRY,35.783357,-78.798666,37183,35.7819112,-78.7990378,Wake,27511,6715,TRUE,TRUE,
Hillview Christian Assembly,3217 Lemon Springs Road,Sanford,NC,27330,FOODPANTRY,35.485386,-79.221276,37105,35.440045,-79.165315,Lee,27332,6876,FALSE,TRUE,
Emmaus House/Raleigh,10 N. East Street,Raleigh,NC,27601,GROUP HOME,35.780255,-78.632179,37183,35.78066,-78.631921,Wake,27601,1110,TRUE,TRUE,
Ayden Christian Care Center,4106 B. West Avenue,Ayden,NC,28513,FOODPANTRY,34.725974,-76.738388,37031,35.4726668,-77.4164844,Pitt,28513,,TRUE,FALSE,Carteret
Apostolic Deliverance,422 E. North Street,Kinston,NC,28501,FOODPANTRY,35.262383,-77.576827,37107,35.262903,-77.574314,Lenoir,28501,5062,TRUE,TRUE,
TROSA,1820 James Street,Durham,NC,27707,GROUP HOME,35.978536,-78.92626,37063,35.979135,-78.927377,Durham,27707,2024,TRUE,TRUE,
Brooks Ave. Church Of Christ,700 Brooks Avenue,Raleigh,NC,27607,FOODPANTRY,35.79641,-78.672658,37183,35.7972041,-78.6723125,Wake,27607,4132,TRUE,TRUE,
